User Input,Intent,Response
Hai,greeting,Halo! Ada yang bisa saya bantu terkait informasi gizi?
Halo,greeting,Halo! Ada yang bisa saya bantu terkait informasi gizi?
Selamat pagi,greeting,Selamat pagi! Siap membantu cek gizi hari ini.
Selamat siang,greeting,Selamat siang! Apakah Anda ingin cek gizi produk?
Selamat sore,greeting,Selamat sore! Mari cek informasi gizi Anda.
Selamat malam,greeting,Selamat malam! Ada produk yang ingin dicek gizinya?
Assalamualaikum,greeting,"Waalaikumsalam, halo! Apa yang ingin Anda tanyakan?"
Waalaikumsalam,greeting,Waalaikumsalam! Saya siap bantu cek gizi.
Apa kabar,greeting,"Saya baik, terima kasih. Siap bantu Anda soal gizi."
Pagi,greeting,"Pagi! Yuk, cek gizi makanan/minuman Anda."
Siang,greeting,Selamat siang! Ada yang ingin Anda tanyakan soal gizi?
Sore,greeting,Selamat sore! Sehat selalu ya.
Malam,greeting,Selamat malam! Mari hidup sehat bersama.
Halo bot,greeting,Halo! Saya siap memberikan info gizi.
Hai asisten,greeting,Hai! Ada produk yang ingin Anda cek gizinya?
Hai gizi bot,greeting,Hai! Saya bisa bantu cek gizi makanan/minuman Anda.
Halo gizi,greeting,Halo! Mari kita cek info gizi bersama.
Hai teman,greeting,"Hai, senang bisa bantu cek gizi Anda."
Selamat datang,greeting,Selamat datang di Asisten Gizi!
"Halo, apa kabar",greeting,"Saya baik, siap bantu Anda cek gizi."
"Hai, selamat pagi",greeting,"Selamat pagi, siap bantu hitung kalori."
"Halo, sehat?",greeting,"Saya sehat, semoga Anda juga sehat ya."
"Halo, gimana kabarnya",greeting,"Baik, terima kasih! Siap bantu soal gizi."
"Halo, apa bisa bantu saya",greeting,Tentu! Silakan tanyakan info gizi yang Anda butuhkan.
"Hai, boleh tanya",greeting,"Boleh, silakan tanyakan produk yang ingin dicek."
"Hai, saya mau info",greeting,"Siap, produk apa yang ingin dicek gizinya?"
"Halo, salam kenal",greeting,Salam kenal! Saya asisten gizi Anda.
Pagi asisten,greeting,"Selamat pagi, ada yang ingin dicek gizinya?"
Selamat siang bot,greeting,"Selamat siang, saya siap bantu Anda."
Hai teman sehat,greeting,"Hai, mari hidup sehat bersama."
"Halo, bisa cek gizi",greeting,"Bisa, produk apa yang ingin dicek?"
"Hai, selamat siang",greeting,"Selamat siang, saya siap bantu soal kalori."
Halo sahabat,greeting,"Halo sahabat sehat, mari cek gizi."
Selamat sore asisten,greeting,"Selamat sore, produk apa yang ingin Anda cek?"
"Halo, ada info gizi",greeting,"Ada, silakan sebutkan produk Anda."
"Hai, kabar baik?",greeting,Baik! Siap bantu Anda.
"Halo, saya ingin tahu",greeting,"Silakan, info gizi apa yang ingin ditanyakan?"
"Hai, boleh nanya?",greeting,"Tentu, silakan."
"Halo, gimana caranya cek gizi",greeting,"Tinggal sebutkan produk, saya bantu cek."
"Halo, saya butuh bantuan",greeting,"Tentu, saya bisa bantu soal gizi."
"Hai, ada info makanan sehat?",greeting,"Ada, saya bisa rekomendasikan."
"Halo, bisa hitung kalori?",greeting,"Bisa, sebutkan produk Anda."
"Halo, saya lapar",greeting,"Yuk, pilih makanan sehat."
"Hai, ada rekomendasi makanan?",greeting,"Ada, saya bisa rekomendasikan menu sehat."
"Hai, gimana cara cek kalori",greeting,"Sebutkan produk, saya bantu cek kalorinya."
"Halo, saya ingin coba bot ini",greeting,Silakan! Tanya soal gizi apapun.
"Hai, tolong cek gizi produk",greeting,"Tentu, produk apa yang dimaksud?"
"Halo, ada informasi kesehatan?",greeting,"Ada, saya siap berikan."
"Hai, bantu cek makanan ini",greeting,"Oke, sebutkan nama produk."
"Halo, bisa bantu saya?",greeting,"Bisa, mari cek gizi produk Anda."
Dadah,goodbye,Sampai jumpa! Tetap jaga kesehatan ya.
Bye,goodbye,Bye! Jangan lupa konsumsi makanan sehat.
Sampai jumpa,goodbye,"Sampai jumpa lagi, semoga sehat selalu."
"Terima kasih, sudah cukup",goodbye,Sama-sama! Jangan lupa pola makan seimbang.
"Oke, saya pamit",goodbye,"Baik, sampai jumpa lagi."
Sudah dulu ya,goodbye,"Oke, sehat selalu!"
Saya keluar,goodbye,"Sampai jumpa, tetap semangat."
See you,goodbye,"See you, jangan lupa makan sehat."
Makasih ya,goodbye,"Sama-sama, silakan kembali kapan saja."
Udahan dulu,goodbye,"Oke, sampai jumpa."
Dah,goodbye,"Dah, sehat selalu ya."
Bye bye,goodbye,"Bye bye, tetap jaga kesehatan."
"Ok, terima kasih",goodbye,"Sama-sama, semoga sehat selalu."
Cukup dulu,goodbye,"Baik, sehat terus ya."
Selesai,goodbye,"Selesai, sampai jumpa."
Pamit dulu,goodbye,"Baik, sampai jumpa."
Aku keluar,goodbye,Sampai ketemu lagi.
Nanti lagi,goodbye,"Oke, kita sambung nanti."
Sampai ketemu,goodbye,Sampai ketemu lagi ya.
Terima kasih banyak,goodbye,"Sama-sama, sehat selalu!"
Thanks,goodbye,"Thanks, jaga kesehatan."
Udah cukup,goodbye,"Oke, sampai jumpa lagi."
Nanti sambung lagi,goodbye,"Siap, sampai ketemu."
Ok selesai,goodbye,"Baik, sampai jumpa."
Stop dulu,goodbye,"Baik, sehat selalu."
Sampai jumpa lagi,goodbye,"Sampai jumpa, tetap semangat hidup sehat."
"Oke, bye",goodbye,"Bye, sehat selalu."
"Udah, makasih",goodbye,"Sama-sama, jaga pola makan ya."
Tutup dulu,goodbye,"Baik, sampai jumpa lagi."
Saya udahan,goodbye,"Oke, sehat selalu ya."
Sampai ketemu lagi,goodbye,"Sampai ketemu, jangan lupa makan sehat."
Sampai besok,goodbye,"Sampai besok, tetap sehat."
Dah ya,goodbye,"Dah, sehat terus ya."
"Baik, saya pergi",goodbye,"Baik, hati-hati dan sehat selalu."
Aku udahan,goodbye,"Oke, sampai jumpa."
Oke cukup,goodbye,"Oke, sehat selalu ya."
Saya sudahi,goodbye,"Oke, sampai jumpa."
"Terima kasih, sampai ketemu",goodbye,"Sama-sama, sehat selalu ya."
Bye bot,goodbye,"Bye, sehat selalu."
Makasih asisten,goodbye,"Sama-sama, semoga bermanfaat."
"Ok, sampai jumpa",goodbye,"Oke, sampai jumpa lagi."
Saya pamit ya,goodbye,"Baik, sampai jumpa."
Udah dulu,goodbye,"Oke, sehat selalu."
Ok saya keluar,goodbye,"Baik, sampai jumpa."
Terima kasih banyak bot,goodbye,"Sama-sama, sehat selalu."
"Dah, sehat selalu",goodbye,"Dah, tetap sehat ya."
"Ok, udah cukup",goodbye,"Baik, sehat selalu."
Stop disini,goodbye,"Baik, kita lanjut kapan-kapan."
"Terima kasih, bye",goodbye,"Sama-sama, bye."
"Bye bye, makasih",goodbye,"Bye bye, sehat selalu ya."
Berapa kalori dalam Teh Botol Sosro?,tanya_info_gizi_produk,Teh Botol Sosro 350 ml mengandung ±140 kkal.
Info gizi Ultra Milk Strawberry 200 ml,tanya_info_gizi_produk,"Ultra Milk Strawberry 200 ml: 110 kkal, 17g gula, 4g lemak."
Apa kandungan gizi Aqua 600 ml?,tanya_info_gizi_produk,Aqua hanya mengandung mineral tanpa kalori.
Berapa kalori Pop Mie Rasa Ayam?,tanya_info_gizi_produk,Pop Mie Ayam 1 cup: ±360 kkal.
Tolong cek info gizi Indomie Goreng,tanya_info_gizi_produk,"Indomie Goreng: 390 kkal, 14g lemak, 730 mg natrium."
Informasi gizi Coca Cola 250 ml,tanya_info_gizi_produk,"Coca Cola 250 ml: ±105 kkal, 26g gula."
Kandungan gizi Silverqueen 25g,tanya_info_gizi_produk,"Silverqueen 25g: ±140 kkal, 8g lemak, 12g gula."
Apakah Oreo mengandung banyak kalori?,tanya_info_gizi_produk,Oreo 28g: ±140 kkal.
Gizi Nutrisari Jeruk 1 sachet,tanya_info_gizi_produk,"Nutrisari Jeruk: 60 kkal, 15g gula."
Apa isi gizi Yakult?,tanya_info_gizi_produk,"Yakult 65 ml: 50 kkal, 10g gula, probiotik."
Kalori Chitato 68 gram,tanya_info_gizi_produk,Chitato 68g: ±360 kkal.
Gizi Good Day Cappuccino,tanya_info_gizi_produk,"Good Day Cappuccino sachet: ±110 kkal, 18g gula."
Info Fruit Tea Apel 350 ml,tanya_info_gizi_produk,"Fruit Tea Apel: 150 kkal, 36g gula."
Kandungan Aqua Reflections,tanya_info_gizi_produk,Aqua Reflections hanya mengandung mineral alami.
Info Frestea Green Tea 500 ml,tanya_info_gizi_produk,"Frestea Green Tea: 180 kkal, 42g gula."
Kalori KFC Chicken 1 potong,tanya_info_gizi_produk,1 potong ayam goreng KFC: ±300 kkal.
Nutrisi Burger McD,tanya_info_gizi_produk,"McD Burger: ±250 kkal, 9g lemak."
Kalori Pizza Hut ukuran kecil,tanya_info_gizi_produk,Pizza kecil: ±600 kkal per porsi.
Info Popcorn 50g,tanya_info_gizi_produk,Popcorn manis: ±200 kkal.
Kalori Sari Roti Coklat,tanya_info_gizi_produk,"Sari Roti Coklat: 190 kkal, 8g lemak."
Nutrisi Dancow Fortigro 200 ml,tanya_info_gizi_produk,"Dancow Fortigro: 150 kkal, 5g lemak."
Kalori Es Teh Pucuk 350 ml,tanya_info_gizi_produk,"Teh Pucuk: 140 kkal, 35g gula."
Gizi Fanta 250 ml,tanya_info_gizi_produk,"Fanta 250 ml: 110 kkal, 26g gula."
Info Sprite botol kecil,tanya_info_gizi_produk,"Sprite 250 ml: 100 kkal, 24g gula."
Kalori Yakult Light,tanya_info_gizi_produk,"Yakult Light: 30 kkal, 7g gula."
Gizi Beng Beng 20g,tanya_info_gizi_produk,"Beng Beng: 120 kkal, 6g lemak."
Kalori Energen 1 sachet,tanya_info_gizi_produk,"Energen: 120 kkal, 2g protein."
Info Biskuat mini,tanya_info_gizi_produk,Biskuat 15g: 70 kkal.
Nutrisi Pringles 42 gram,tanya_info_gizi_produk,Pringles 42g: 220 kkal.
Kalori Pocari Sweat 350 ml,tanya_info_gizi_produk,"Pocari Sweat: 80 kkal, elektrolit."
Info Teh Gelas 350 ml,tanya_info_gizi_produk,Teh Gelas: 140 kkal.
Nutrisi Teh Kotak Jasmine,tanya_info_gizi_produk,Teh Kotak: 130 kkal.
Kalori Bear Brand 189 ml,tanya_info_gizi_produk,"Bear Brand: 120 kkal, kaya vitamin."
Info Milo UHT 200 ml,tanya_info_gizi_produk,"Milo: 140 kkal, 20g gula."
Nutrisi Nutriboost Coklat,tanya_info_gizi_produk,"Nutriboost: 190 kkal, 30g gula."
Kalori Cimory Yogurt Drink,tanya_info_gizi_produk,Cimory Yogurt: 110 kkal.
Info Fruit Tea Lemon 350 ml,tanya_info_gizi_produk,Fruit Tea Lemon: 140 kkal.
Nutrisi Mizone 500 ml,tanya_info_gizi_produk,Mizone: 120 kkal.
Info Floridina 350 ml,tanya_info_gizi_produk,"Floridina: 130 kkal, vitamin C."
Nutrisi Indomilk Kids 115 ml,tanya_info_gizi_produk,Indomilk Kids: 90 kkal.
Info Cheetos 50g,tanya_info_gizi_produk,Cheetos: 260 kkal.
Nutrisi Tango Wafer 20g,tanya_info_gizi_produk,Tango: 100 kkal.
Kalori Sari Gandum 20g,tanya_info_gizi_produk,Sari Gandum: 95 kkal.
Info Koko Krunch 30g,tanya_info_gizi_produk,Koko Krunch: 120 kkal.
Nutrisi Milo Sachet 30g,tanya_info_gizi_produk,Milo sachet: 110 kkal.
Kalori Ultra Milk Full Cream 200 ml,tanya_info_gizi_produk,Ultra Milk: 130 kkal.
Info Good Time Cookies 30g,tanya_info_gizi_produk,Good Time: 150 kkal.
Nutrisi Taro Net 30g,tanya_info_gizi_produk,Taro Net: 140 kkal.
Kalori Twister 20g,tanya_info_gizi_produk,Twister: 100 kkal.
Kalori Prenagen Velvety Choco 185ml,tanya_info_gizi_produk,Kandungan kalori sekitar 115 kkal
Berapa kebutuhan kalori saya per hari?,tanya_kalori_harian,Rata-rata orang dewasa butuh 2000–2500 kkal/hari.
Hitung kebutuhan kalori harian,tanya_kalori_harian,"Kebutuhan kalori tergantung usia, jenis kelamin, dan aktivitas."
Wanita butuh berapa kalori?,tanya_kalori_harian,Wanita dewasa rata-rata 2000 kkal/hari.
Pria dewasa perlu berapa energi?,tanya_kalori_harian,Pria dewasa rata-rata 2500 kkal/hari.
Kalori untuk anak usia 10 tahun,tanya_kalori_harian,Anak usia 10 tahun butuh ±1800 kkal/hari.
Kalori remaja berapa?,tanya_kalori_harian,Remaja butuh ±2200 kkal/hari.
Berapa kalori orang obesitas?,tanya_kalori_harian,Disarankan <2000 kkal/hari sesuai dokter.
Kalori ibu hamil,tanya_kalori_harian,Ibu hamil perlu tambahan ±300 kkal/hari.
Kalori untuk orang diet,tanya_kalori_harian,Diet umumnya 1500–1800 kkal/hari.
Kalori bayi 1 tahun,tanya_kalori_harian,Bayi 1 tahun butuh ±900 kkal/hari.
Kalori orang tua,tanya_kalori_harian,Lansia biasanya butuh 1600–2000 kkal/hari.
Kalori untuk atlet,tanya_kalori_harian,Atlet bisa butuh 3000–4000 kkal/hari.
Kalori saat puasa,tanya_kalori_harian,"Tetap 2000 kkal, dibagi saat sahur & buka."
Kalori ibu menyusui,tanya_kalori_harian,Tambahan ±500 kkal/hari.
Kalori mahasiswa,tanya_kalori_harian,±2200 kkal/hari.
Kalori karyawan kantor,tanya_kalori_harian,±2000 kkal/hari.
Kalori pekerja lapangan,tanya_kalori_harian,±2500–3000 kkal/hari.
Kalori anak sekolah,tanya_kalori_harian,±1800–2000 kkal/hari.
Kalori lansia,tanya_kalori_harian,±1600 kkal/hari.
Kalori remaja putri,tanya_kalori_harian,±2000 kkal/hari.
Kalori remaja pria,tanya_kalori_harian,±2400 kkal/hari.
Kalori pria aktif,tanya_kalori_harian,±2800 kkal/hari.
Kalori wanita aktif,tanya_kalori_harian,±2200 kkal/hari.
Kalori pekerja ringan,tanya_kalori_harian,±2000 kkal/hari.
Kalori pekerja berat,tanya_kalori_harian,±3000 kkal/hari.
Kalori ibu rumah tangga,tanya_kalori_harian,±2000 kkal/hari.
Kalori balita,tanya_kalori_harian,±1200 kkal/hari.
Kalori anak SMP,tanya_kalori_harian,±2000 kkal/hari.
Kalori anak SMA,tanya_kalori_harian,±2200 kkal/hari.
Kalori pasien diabetes,tanya_kalori_harian,"Sesuai rekomendasi dokter, biasanya 1500–1800 kkal/hari."
Kalori pasien hipertensi,tanya_kalori_harian,±1800–2000 kkal/hari.
Kalori pasien jantung,tanya_kalori_harian,±1600–1800 kkal/hari.
Kalori orang kurus,tanya_kalori_harian,±2500 kkal/hari untuk menambah berat badan.
Kalori orang gemuk,tanya_kalori_harian,±1600–1800 kkal/hari untuk menurunkan berat badan.
Kalori diet rendah karbo,tanya_kalori_harian,±1500 kkal/hari.
Kalori diet tinggi protein,tanya_kalori_harian,±1800–2000 kkal/hari.
Kalori pelari,tanya_kalori_harian,±3000 kkal/hari.
Kalori pesepeda,tanya_kalori_harian,±2800–3200 kkal/hari.
Kalori perenang,tanya_kalori_harian,±3000 kkal/hari.
Kalori pegawai bank,tanya_kalori_harian,±2000 kkal/hari.
Kalori programmer,tanya_kalori_harian,±1900 kkal/hari.
Kalori dosen,tanya_kalori_harian,±2000 kkal/hari.
Kalori guru,tanya_kalori_harian,±2000 kkal/hari.
Kalori dokter,tanya_kalori_harian,±2200 kkal/hari.
Kalori perawat,tanya_kalori_harian,±2100 kkal/hari.
Kalori sopir,tanya_kalori_harian,±2200 kkal/hari.
Kalori petani,tanya_kalori_harian,±2500–2800 kkal/hari.
Kalori nelayan,tanya_kalori_harian,±2600–3000 kkal/hari.
Kalori pekerja bangunan,tanya_kalori_harian,±3000 kkal/hari.
Kalori tentara,tanya_kalori_harian,±3500 kkal/hari.
Apa rekomendasi makanan sehat hari ini?,tanya_rekomendasi_makanan,"Sayur, buah, dan protein seimbang sangat baik."
Menu makan siang sehat,tanya_rekomendasi_makanan,"Coba nasi merah, ayam panggang, dan sayur hijau."
Sarapan sehat apa ya?,tanya_rekomendasi_makanan,Oatmeal dengan buah segar sangat bagus.
Camilan sehat sore,tanya_rekomendasi_makanan,Buah potong atau kacang panggang bisa jadi pilihan.
Makanan sehat malam hari,tanya_rekomendasi_makanan,Sup sayur dengan ikan rebus cocok.
Rekomendasi makanan untuk diet,tanya_rekomendasi_makanan,"Pilih sayur hijau, protein tanpa lemak, dan buah segar."
Makanan sehat untuk anak sekolah,tanya_rekomendasi_makanan,"Bekal nasi, ayam, telur, dan buah potong."
Menu sehat untuk ibu hamil,tanya_rekomendasi_makanan,"Tambahkan susu, sayur, buah, dan protein."
Apa makanan sehat untuk remaja?,tanya_rekomendasi_makanan,"Susu, telur, buah, dan sayur sangat baik."
Rekomendasi makanan vegetarian,tanya_rekomendasi_makanan,"Tahu, tempe, sayur hijau, dan kacang-kacangan."
Makanan sehat untuk vegan,tanya_rekomendasi_makanan,"Buah, sayur, kacang, dan biji-bijian."
Menu sehat untuk lansia,tanya_rekomendasi_makanan,"Bubur, ikan kukus, sayur rebus, dan buah lunak."
Rekomendasi makanan rendah gula,tanya_rekomendasi_makanan,Pilih buah rendah gula seperti apel atau pir.
Makanan rendah garam,tanya_rekomendasi_makanan,"Sayuran segar, buah, dan ikan rebus."
Makanan rendah lemak,tanya_rekomendasi_makanan,"Ikan kukus, ayam tanpa kulit, sayuran."
Makanan tinggi protein sehat,tanya_rekomendasi_makanan,"Telur, dada ayam, ikan, dan kacang-kacangan."
Rekomendasi makanan tinggi serat,tanya_rekomendasi_makanan,"Sayur hijau, kacang, dan buah segar."
Makanan sehat untuk penderita diabetes,tanya_rekomendasi_makanan,"Nasi merah, sayur, ikan, dan buah rendah gula."
Makanan sehat untuk hipertensi,tanya_rekomendasi_makanan,"Sayuran hijau, buah, dan ikan rendah garam."
Makanan sehat untuk jantung,tanya_rekomendasi_makanan,"Ikan salmon, kacang, sayuran hijau."
Menu sehat untuk sarapan anak,tanya_rekomendasi_makanan,"Roti gandum, telur rebus, dan susu."
Makanan sehat saat sahur,tanya_rekomendasi_makanan,"Nasi merah, ayam, sayur, dan buah segar."
Makanan sehat saat berbuka puasa,tanya_rekomendasi_makanan,"Kurma, sup sayur, dan ikan."
Rekomendasi makanan untuk pekerja kantoran,tanya_rekomendasi_makanan,"Nasi merah, dada ayam, sayur rebus."
Menu sehat untuk mahasiswa,tanya_rekomendasi_makanan,"Roti gandum, telur, dan buah."
Makanan sehat untuk anak kos,tanya_rekomendasi_makanan,"Telur rebus, sayur, buah potong."
Rekomendasi makanan untuk atlet,tanya_rekomendasi_makanan,"Nasi merah, daging tanpa lemak, sayur hijau."
Makanan sehat untuk diet keto,tanya_rekomendasi_makanan,"Alpukat, ikan, telur, dan minyak zaitun."
Makanan sehat untuk diet rendah karbo,tanya_rekomendasi_makanan,"Telur, daging, ikan, dan sayur hijau."
Makanan sehat untuk diet tinggi protein,tanya_rekomendasi_makanan,"Telur, ayam, ikan, dan susu rendah lemak."
Rekomendasi makanan vegetarian sehat,tanya_rekomendasi_makanan,"Tahu, tempe, kacang merah, sayur."
Menu sehat rendah kalori,tanya_rekomendasi_makanan,"Sup sayur, ikan kukus, buah segar."
Makanan sehat tinggi vitamin C,tanya_rekomendasi_makanan,"Jeruk, kiwi, stroberi, dan paprika."
Makanan sehat tinggi kalsium,tanya_rekomendasi_makanan,"Susu, keju, yoghurt, dan sayuran hijau."
Makanan sehat tinggi zat besi,tanya_rekomendasi_makanan,"Bayam, hati ayam, kacang-kacangan."
Makanan sehat untuk diet Mediterania,tanya_rekomendasi_makanan,"Minyak zaitun, ikan, kacang, buah segar."
Rekomendasi makanan tradisional sehat,tanya_rekomendasi_makanan,"Pecel sayur, gado-gado, urap."
Makanan sehat untuk camilan malam,tanya_rekomendasi_makanan,"Yogurt rendah lemak, buah potong."
Rekomendasi makanan lokal bergizi,tanya_rekomendasi_makanan,"Tempe, tahu, ikan pindang, sayur hijau."
Makanan sehat untuk meningkatkan imun,tanya_rekomendasi_makanan,"Buah kaya vitamin C, sayur, madu."
Rekomendasi makanan untuk diet DASH,tanya_rekomendasi_makanan,"Buah, sayur, kacang, produk susu rendah lemak."
